Create Date,Entity_ID,Order Customer,Country,L2_Category_ID,Weekly_Volume,Total_Weight_Kg,Mean_Value,High_Value_Raw,High_Value_Ratio,Dist_Day0,Dist_Day1,Dist_Day2,Dist_Day3,Dist_Day4,Dist_Day5,Dist_Day6
2025-11-03,Easyship Fulfillment Services Limited_PE_159,Easyship Fulfillment Services Limited,PE,159,2,0.36,760.2461089411543,2,1.0,0.0,0.0,0.0,0.0,0.0,0.999999995,0.0
2025-11-03,Easyship Fulfillment Services Limited_RE_159,Easyship Fulfillment Services Limited,RE,159,3,0.36,68.56653009596748,3,1.0,0.0,0.0,0.0,0.0,0.0,0.9999999966666667,0.0
2025-11-03,Easyship Fulfillment Services Limited_SG_180,Easyship Fulfillment Services Limited,SG,180,17,34.7,62.04577050519269,14,0.8235294117647058,0.9999999994117647,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,Easyship Fulfillment Services Limited_SG_2,Easyship Fulfillment Services Limited,SG,2,4,0.4,94.08248824418062,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999975
2025-11-03,Easyship Fulfillment Services Limited_SG_7,Easyship Fulfillment Services Limited,SG,7,5,5.08,161.2685481952306,5,1.0,0.9999999980000001,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,Easyship Fulfillment Services Limited_UY_159,Easyship Fulfillment Services Limited,UY,159,3,0.44999999999999996,752.0109351092169,3,1.0,0.3333333322222222,0.0,0.0,0.0,0.0,0.6666666644444444,0.0
2025-11-03,Floship Ltd._MY_119,Floship Ltd.,MY,119,1,0.11,8.105546143392406,0,0.0,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,Floship Ltd._SG_2999,Floship Ltd.,SG,2999,2,0.45,50.33907916431653,2,1.0,0.0,0.0,0.0,0.0,0.0,0.4999999975,0.4999999975
2025-11-03,GPGS_AU_8999,GPGS,AU,8999,67,6.7,3.2628452669724473,0,0.0,0.9999999998507464,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_BE_368,GPGS,BE,368,2,0.2,5.269113794192209,0,0.0,0.999999995,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_CA_368,GPGS,CA,368,5,0.5,5.274580804976596,0,0.0,0.9999999980000001,0.0,0.0,0.0,0.0,0.0,0.0
